2023/03/28 16:05:13,20.459999,48.34
2023/03/28 16:05:18,20.459999,48.34
2023/03/28 16:05:23,20.459999,48.34
2023/03/28 16:05:28,20.459999,48.34
2023/03/28 16:05:33,20.459999,48.34
2023/03/28 16:05:38,20.459999,48.34
2023/03/28 16:05:43,20.459999,48.34
2023/03/28 16:05:50,20.459999,48.34
2023/03/28 16:05:56,20.459999,48.34
2023/03/28 16:06:01,20.459999,48.34
2023/03/28 16:06:06,20.459999,48.34
2023/03/28 16:06:11,20.459999,48.34
2023/03/28 16:06:16,20.459999,48.34
2023/03/28 16:06:27,20.459999,48.34
2023/03/28 16:06:32,20.459999,48.34
2023/03/28 16:06:37,20.459999,48.34
2023/03/28 16:06:42,20.459999,48.34
2023/03/28 16:06:47,20.459999,48.34
2023/03/28 16:06:52,20.459999,48.34
2023/03/28 16:06:57,192.168.200.1,20.459999,48.34
2023/03/28 16:07:02,192.168.200.1,20.459999,48.34
2023/03/28 16:07:07,192.168.200.1,20.459999,48.34
2023/03/28 16:07:12,192.168.200.1,20.459999,48.34
2023/03/28 16:07:18,192.168.200.1,20.459999,48.34
2023/03/28 16:07:23,192.168.200.1,20.459999,48.34
2023/03/28 16:07:28,192.168.200.1,20.459999,48.34
2023/03/28 16:07:33,192.168.200.1,20.459999,48.34
2023/03/28 16:07:38,192.168.200.1,20.459999,48.34
2023/03/28 16:07:43,192.168.200.1,20.459999,48.34
2023/03/28 16:07:48,192.168.200.1,20.459999,48.34
2023/03/28 16:07:53,192.168.200.1,20.459999,48.34
2023/03/28 16:07:58,192.168.200.1,20.459999,48.34
2023/03/28 16:08:03,192.168.200.1,20.459999,48.34
2023/03/28 16:08:08,192.168.200.1,20.459999,48.34
2023/03/28 16:08:13,192.168.200.1,20.459999,48.34
2023/03/28 16:08:29,192.168.200.1,20.459999,48.34
2023/03/28 16:08:34,192.168.200.1,20.459999,48.34
2023/03/28 16:08:39,192.168.200.1,20.459999,48.34
2023/03/28 16:08:44,192.168.200.1,20.459999,48.34
2023/03/28 16:08:49,192.168.200.1,20.459999,48.34
2023/03/28 16:08:54,192.168.200.1,20.459999,48.34
2023/03/28 16:08:59,192.168.200.1,20.459999,48.34
2023/03/28 16:09:05,192.168.200.1,20.459999,48.34
